DATE,ECOMNSA
1999-10-01,5241.0
2000-01-01,5553.0
2000-04-01,6059.0
2000-07-01,6892.0
2000-10-01,9104.0
2001-01-01,7923.0
2001-04-01,7816
2001-07-01,7737.0
2001-10-01,10784.0
2002-01-01,9621.0
2002-04-01,10076.0
2002-07-01,10760.0
2002-10-01,14166.0
2003-01-01,12358.0
2003-04-01,12973.0
2003-07-01,13909.0
2003-10-01,17915.0
2004-01-01,16201.0
2004-04-01,16502.0
2004-07-01,17371.0
2004-10-01,22523.0
2005-01-01,20142.0
2005-04-01,20953.0
2005-07-01,22171.0
2005-10-01,28121.0
2006-01-01,25490.0
2006-04-01,25817.0
2006-07-01,26892.0
2006-10-01,35135.0
2007-01-01,30403.0
2007-04-01,31589.0
2007-07-01,32352.0
2007-10-01,42126.0
2008-01-01,34270.0
2008-04-01,34260
2008-07-01,33486.0
2008-10-01,39576.0
2009-01-01,32284.0
2009-04-01,32924
2009-07-01,34494.0
2009-10-01,45805.0
2010-01-01,37059.0
2010-04-01,38467.0
2010-07-01,40075.0
2010-10-01,54320.0
2011-01-01,44251.0
2011-04-01,45429.0
2011-07-01,46174.0
2011-10-01,64503.0
2012-01-01,51808.0
2012-04-01,52605.0
2012-07-01,53854.0
2012-10-01,73878.0
2013-01-01,58072.0
2013-04-01,59709.0
2013-07-01,60728.0
2013-10-01,82946.0
2014-01-01,65211.0
2014-04-01,68565.0
2014-07-01,70004.0
2014-10-01,94082.0
2015-01-01,74172.0
2015-04-01,77856.0
2015-07-01,79573.0
2015-10-01,106527.0
2016-01-01,84198.0
2016-04-01,89042.0
2016-07-01,90635.0
2016-10-01,120394.0
2017-01-01,96069.0
2017-04-01,102892.0
2017-07-01,104778.0
2017-10-01,139973.0
2018-01-01,111691.0
2018-04-01,119604.0
2018-07-01,120604.0
2018-10-01,155723.0
2019-01-01,121670.0
2019-04-01,132312.0
2019-07-01,138714.0
2019-10-01,179018.0
2020-01-01,147057.0
2020-04-01,205293.0
2020-07-01,206532.0
2020-10-01,258313.0
2021-01-01,214596.0
2021-04-01,233659.0
2021-07-01,226918.0
2021-10-01,283542.0
2022-01-01,234454.0
2022-04-01,250341.0
2022-07-01,252107.0
2022-10-01,303120.0
2023-01-01,252773.0
2023-04-01,269287.0
2023-07-01,271653.0
