Quarter,Inflation Rate
1989 Q1,5
1989 Q2,5.3
1989 Q3,5.1
1989 Q4,5.5
1990 Q1,5.8
1990 Q2,6.7
1990 Q3,7.5
1990 Q4,7.8
1991 Q1,7
1991 Q2,8.3
1991 Q3,7.8
1991 Q4,7
1992 Q1,7
1992 Q2,4.3
1992 Q3,3.2
1992 Q4,2.7
1993 Q1,2.4
1993 Q2,2.5
1993 Q3,2.9
1993 Q4,2.4
1994 Q1,2.5
1994 Q2,2
1994 Q3,1.7
1994 Q4,1.8
1995 Q1,2.5
1995 Q2,2.4
1995 Q3,2.7
1995 Q4,2.9
1996 Q1,2.6
1996 Q2,2.4
1996 Q3,2.2
1996 Q4,2.5
1997 Q1,1.9
1997 Q2,1.6
1997 Q3,1.9
1997 Q4,1.8
1998 Q1,1.6
1998 Q2,1.8
1998 Q3,1.4
1998 Q4,1.4
1999 Q1,1.6
1999 Q2,1.4
1999 Q3,1.2
1999 Q4,1.1
2000 Q1,0.8
2000 Q2,0.6
2000 Q3,0.8
2000 Q4,1
2001 Q1,0.9
2001 Q2,1.5
2001 Q3,1.5
2001 Q4,1
2002 Q1,1.5
2002 Q2,0.9
2002 Q3,1
2002 Q4,1.5
2003 Q1,1.5
2003 Q2,1.3
2003 Q3,1.4
2003 Q4,1.3
2004 Q1,1.3
2004 Q2,1.4
2004 Q3,1.3
2004 Q4,1.4
2005 Q1,1.7
2005 Q2,2
2005 Q3,2.4
2005 Q4,2.1
2006 Q1,1.9
2006 Q2,2.3
2006 Q3,2.4
2006 Q4,2.7
2007 Q1,2.9
2007 Q2,2.6
2007 Q3,1.8
2007 Q4,2.1
2008 Q1,2.4
2008 Q2,3.4
2008 Q3,4.8
2008 Q4,3.9
2009 Q1,3
2009 Q2,2.1
2009 Q3,1.5
2009 Q4,2.1
2010 Q1,3.3
2010 Q2,3.5
2010 Q3,3.1
2010 Q4,3.4
2011 Q1,4.1
2011 Q2,4.4
2011 Q3,4.7
2011 Q4,4.6
2012 Q1,3.5
2012 Q2,2.8
2012 Q3,2.4
2012 Q4,2.7
2013 Q1,2.8
2013 Q2,2.7
2013 Q3,2.7
2013 Q4,2.1
2014 Q1,1.7
2014 Q2,1.7
2014 Q3,1.5
2014 Q4,0.9
2015 Q1,0.1
2015 Q2,0
2015 Q3,0
2015 Q4,0.1
2016 Q1,0.3
2016 Q2,0.4
2016 Q3,0.7
2016 Q4,1.2
2017 Q1,2.1
2017 Q2,2.7
2017 Q3,2.8
2017 Q4,3
2018 Q1,2.7
2018 Q2,2.4
2018 Q3,2.5
2018 Q4,2.3
2019 Q1,1.9
2019 Q2,2
2019 Q3,1.8
2019 Q4,1.4
2020 Q1,1.7
2020 Q2,0.6
2020 Q3,0.6
2020 Q4,0.5
2021 Q1,0.6
2021 Q2,2.1
2021 Q3,2.8
2021 Q4,4.9
2022 Q1,6.2
2022 Q2,9.2
2022 Q3,10
2022 Q4,10.7
2023 Q1,10.2
2023 Q2,8.4
2023 Q3,6.7
2023 Q4,4.2
2024 Q1,3.5
2024 Q2,2.1
2024 Q3,2
2024 Q4,2.5
2025 Q1,2.8
2025 Q2,3.5
2025 Q3,3.8
2025 Q4,3.4
2026 Q1,3.1
